projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.05,0.1781,0.2708,0.2149,1,26,120,70,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.1,0.2778,0.1042,0.1515,0.8824,10,26,86,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.15,0.3529,0.0625,0.1062,0.5882,6,11,90,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.2,0.2727,0.0313,0.0561,0.5294,3,8,93,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.25,0.25,0.0104,0.02,0.1765,1,3,95,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.3,0,0,0,0.1176,0,2,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.4,0,0,0,0,0,0,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.5,0,0,0,0,0,0,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.6,0,0,0,0,0,0,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.7,0,0,0,0,0,0,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.8,0,0,0,0,0,0,96,17,96
f11341a6-5cb7-49c2-a733-54d9c13d9893,bubbletea,tfidf,0.9,0,0,0,0,0,0,96,17,96
