projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.05,0.3117,0.8417,0.455,1,101,223,19,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.1,0.3117,0.8417,0.455,1,101,223,19,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.15,0.3117,0.8417,0.455,1,101,223,19,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.2,0.3117,0.8417,0.455,1,101,223,19,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.25,0.3114,0.75,0.4401,1,90,199,30,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.3,0.4677,0.725,0.5686,0.9412,87,99,33,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.4,0.3509,0.1667,0.226,0.4706,20,37,100,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.5,0.9,0.075,0.1385,0.1765,9,1,111,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.6,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.7,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.8,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,embedding,0.9,0,0,0,0,0,0,120,17,120
