projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.05,0.958,0.95,0.954,1,114,5,6,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.1,0.9727,0.8917,0.9304,1,107,3,13,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.15,0.9717,0.8583,0.9115,0.9412,103,3,17,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.2,0.9714,0.85,0.9067,0.9412,102,3,18,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.25,0.9655,0.7,0.8116,0.9412,84,3,36,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.3,0.9524,0.1667,0.2837,0.5882,20,1,100,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.4,1,0.0583,0.1102,0.2353,7,0,113,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.5,1,0.0417,0.08,0.1765,5,0,115,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.6,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.7,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.8,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,hybrid,0.9,0,0,0,0,0,0,120,17,120
