projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.05,0.1264,0.0917,0.1063,0.7647,11,76,109,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.1,0.2667,0.0667,0.1067,0.5294,8,22,112,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.15,0.8,0.0333,0.064,0.1765,4,1,116,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.2,0,0,0,0.0588,0,1,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.25,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.3,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.4,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.5,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.6,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.7,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.8,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,structural-only,0.9,0,0,0,0,0,0,120,17,120
