projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.05,0.1969,0.2083,0.2024,0.9412,25,102,95,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.1,0.3,0.125,0.1765,0.7647,15,35,105,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.15,0.3636,0.1,0.1569,0.6471,12,21,108,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.2,0.381,0.0667,0.1135,0.5294,8,13,112,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.25,0.4211,0.0667,0.1151,0.4706,8,11,112,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.3,0.4615,0.05,0.0902,0.2941,6,7,114,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.4,0.6,0.025,0.048,0.1176,3,2,117,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.5,1,0.0083,0.0165,0.0588,1,0,119,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.6,1,0.0083,0.0165,0.0588,1,0,119,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.7,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.8,0,0,0,0,0,0,120,17,120
a2740332-275e-4c98-9e2c-739161da7745,caddy,tfidf,0.9,0,0,0,0,0,0,120,17,120
