projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.05,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.1,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.15,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.2,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.25,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.3,0.0338,0.037,0.0354,1,7,200,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.4,0.0417,0.0317,0.036,0.8235,6,138,183,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.5,0.0968,0.0317,0.0478,0.5294,6,56,183,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.6,0,0,0,0.1176,0,7,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.7,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.8,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,embedding,0.9,0,0,0,0,0,0,189,17,189
