projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.05,0.3785,0.7249,0.4973,1,137,225,52,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.1,0.2667,0.2751,0.2708,1,52,143,137,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.15,0.2361,0.1799,0.2042,1,34,110,155,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.2,0.2366,0.164,0.1938,1,31,100,158,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.25,0.2126,0.1429,0.1709,1,27,100,162,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.3,0.2111,0.1005,0.1362,1,19,71,170,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.4,0.2326,0.0529,0.0862,0.7059,10,33,179,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.5,0.175,0.037,0.0611,0.7059,7,33,182,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.6,0.2308,0.0159,0.0297,0.4118,3,10,186,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.7,1,0.0053,0.0105,0.0588,1,0,188,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.8,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,hybrid,0.9,0,0,0,0,0,0,189,17,189
