projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.05,0.0403,0.0635,0.0493,1,12,286,177,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.1,0.0442,0.0529,0.0482,1,10,216,179,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.15,0.0333,0.0212,0.0259,0.8824,4,116,185,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.2,0.0185,0.0053,0.0082,0.8235,1,53,188,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.25,0,0,0,0.4118,0,25,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.3,0,0,0,0.3529,0,13,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.4,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.5,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.6,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.7,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.8,0,0,0,0,0,0,189,17,189
34a6d538-0333-43fc-9dc9-8308f51e28f4,esbuild,tfidf,0.9,0,0,0,0,0,0,189,17,189
