projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.05,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.1,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.15,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.2,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.25,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.3,0.0126,0.0323,0.0181,0.7647,2,157,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.4,0.0134,0.0323,0.019,0.7059,2,147,60,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.5,0.0192,0.0161,0.0175,0.4706,1,51,61,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.6,0,0,0,0.0588,0,1,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.7,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.8,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,embedding,0.9,0,0,0,0,0,0,62,17,62
