projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.05,0.15,0.0484,0.0732,0.0588,3,17,59,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.1,0.15,0.0484,0.0732,0.0588,3,17,59,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.15,0.0769,0.0161,0.0267,0.0588,1,12,61,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.2,0.0909,0.0161,0.0274,0.0588,1,10,61,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.25,0.1667,0.0161,0.0294,0.0588,1,5,61,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.3,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.4,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.5,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.6,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.7,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.8,0,0,0,0,0,0,62,17,62
569ef3c7-07a5-4ca0-9f22-2a6e119786f2,fastapi,tfidf,0.9,0,0,0,0,0,0,62,17,62
