projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.05,0.231,0.3979,0.2923,1,76,253,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.1,0.231,0.3979,0.2923,1,76,253,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.15,0.231,0.3979,0.2923,1,76,253,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.2,0.231,0.3979,0.2923,1,76,253,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.25,0.231,0.3979,0.2923,1,76,253,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.3,0.242,0.3979,0.301,1,76,238,115,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.4,0.3793,0.3455,0.3616,0.95,66,108,125,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.5,0.7813,0.1309,0.2242,0.6,25,7,166,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.6,1,0.0052,0.0104,0.05,1,0,190,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.7,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.8,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,embedding,0.9,0,0,0,0,0,0,191,20,191
