projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.05,0.9935,0.8063,0.8902,1,154,1,37,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.1,0.9909,0.5707,0.7243,1,109,1,82,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.15,0.9863,0.377,0.5455,1,72,1,119,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.2,0.9863,0.377,0.5455,1,72,1,119,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.25,0.9863,0.377,0.5455,1,72,1,119,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.3,0.9818,0.2827,0.439,0.9,54,1,137,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.4,1,0.0681,0.1275,0.35,13,0,178,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.5,1,0.0681,0.1275,0.35,13,0,178,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.6,1,0.0628,0.1182,0.3,12,0,179,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.7,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.8,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,hybrid,0.9,0,0,0,0,0,0,191,20,191
