projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.05,0.1698,0.0942,0.1212,0.7,18,88,173,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.1,0.1791,0.0628,0.093,0.55,12,55,179,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.15,0.3043,0.0366,0.0654,0.15,7,16,184,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.2,0.25,0.0262,0.0474,0.05,5,15,186,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.25,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.3,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.4,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.5,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.6,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.7,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.8,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,structural-only,0.9,0,0,0,0,0,0,191,20,191
