projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.05,0.2033,0.1937,0.1984,1,37,145,154,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.1,0.3562,0.1361,0.197,0.85,26,47,165,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.15,0.5,0.089,0.1511,0.6,17,17,174,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.2,0.5652,0.0681,0.1215,0.55,13,10,178,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.25,0.6,0.0471,0.0874,0.45,9,6,182,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.3,0.625,0.0262,0.0503,0.25,5,3,186,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.4,0.6667,0.0105,0.0206,0.15,2,1,189,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.5,1,0.0052,0.0104,0.05,1,0,190,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.6,1,0.0052,0.0104,0.05,1,0,190,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.7,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.8,0,0,0,0,0,0,191,20,191
d96537c0-6222-4756-96c8-94d02225f8d5,go-redis,tfidf,0.9,0,0,0,0,0,0,191,20,191
