projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.05,0.8182,0.7235,0.7679,1,225,50,86,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.1,0.8947,0.328,0.48,1,102,12,209,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.15,0.869,0.2347,0.3696,0.95,73,11,238,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.2,0.8675,0.2315,0.3655,0.95,72,11,239,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.25,0.8642,0.2251,0.3571,0.95,70,11,241,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.3,0.918,0.1801,0.3011,0.9,56,5,255,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.4,0.9216,0.1511,0.2597,0.85,47,4,264,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.5,0.9216,0.1511,0.2597,0.85,47,4,264,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.6,0.9048,0.0611,0.1145,0.6,19,2,292,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.7,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.8,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,hybrid,0.9,0,0,0,0,0,0,311,20,311
