projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.05,0.2119,0.1029,0.1385,0.9,32,119,279,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.1,0.2066,0.0804,0.1157,0.9,25,96,286,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.15,0.1818,0.0257,0.0451,0.5,8,36,303,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.2,0.1667,0.0064,0.0124,0.25,2,10,309,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.25,0.3333,0.0032,0.0064,0.15,1,2,310,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.3,0.5,0.0032,0.0064,0.1,1,1,310,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.4,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.5,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.6,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.7,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.8,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,structural-only,0.9,0,0,0,0,0,0,311,20,311
