projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.05,0.1802,0.164,0.1717,1,51,232,260,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.1,0.25,0.09,0.1324,0.95,28,84,283,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.15,0.3125,0.0482,0.0836,0.7,15,33,296,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.2,0.4737,0.0289,0.0545,0.45,9,10,302,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.25,0.6364,0.0225,0.0435,0.3,7,4,304,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.3,0.6,0.0096,0.019,0.2,3,2,308,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.4,1,0.0032,0.0064,0.05,1,0,310,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.5,1,0.0032,0.0064,0.05,1,0,310,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.6,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.7,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.8,0,0,0,0,0,0,311,20,311
f6a67773-3f7c-4611-af33-9203f320c0f3,minisearch,tfidf,0.9,0,0,0,0,0,0,311,20,311
