projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.05,0.4444,0.2319,0.3048,0.6,16,20,53,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.1,0.4545,0.1449,0.2198,0.6,10,12,59,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.15,0.2222,0.029,0.0513,0.35,2,7,67,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.2,0.2,0.0145,0.027,0.2,1,4,68,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.25,0,0,0,0.05,0,1,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.3,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.4,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.5,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.6,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.7,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.8,0,0,0,0,0,0,69,20,69
5ecc4ad5-ccdc-457b-9ab6-2d889283fe1b,mitt,structural-only,0.9,0,0,0,0,0,0,69,20,69
