projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.05,0.4565,1,0.6269,1,63,75,0,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.1,0.5304,0.9683,0.6854,1,61,54,2,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.15,0.5398,0.9683,0.6932,0.9412,61,52,2,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.2,0.5161,0.7619,0.6154,0.9412,48,45,15,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.25,0.6471,0.1746,0.275,0.6471,11,6,52,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.3,0,0,0,0.0588,0,1,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.4,0,0,0,0,0,0,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.5,0,0,0,0,0,0,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.6,0,0,0,0,0,0,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.7,0,0,0,0,0,0,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.8,0,0,0,0,0,0,63,17,63
46acf394-39b6-4dc4-927f-eda8fc9927a7,requests,hybrid,0.9,0,0,0,0,0,0,63,17,63
