projectId,projectName,matcherType,threshold,precision,recall,f1,coverage,tp,fp,fn,totalRequirements,groundTruthLinks
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.05,0.2096,0.1514,0.1758,0.9048,48,181,269,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.1,0.1494,0.041,0.0644,0.5238,13,74,304,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.15,0,0,0,0.1429,0,27,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.2,0,0,0,0.0476,0,13,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.25,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.3,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.4,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.5,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.6,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.7,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.8,0,0,0,0,0,0,317,21,317
eef21880-ed13-496e-84c0-58b7daebcae2,typer,structural-only,0.9,0,0,0,0,0,0,317,21,317
